cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Vargas Vidot, José A.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Villafañe Ramos, William E.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Aponte Dalmau, Javier",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Dalmau Santiago, José L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"García Montes, Ada",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Arroyo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Huertas, Marially",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Hau, Gretchen",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Matias Rosario, Gregorio",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Morán Trinidad, Nitza",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Neumann Zayas, Henry",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Santiago Negrón, María de L.",En contra
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Rivera, Rubén",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Torres Berríos, Albert",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Vargas Vidot, José A.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Villafañe Ramos, William E.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Aponte Dalmau, Javier",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Dalmau Santiago, José L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"García Montes, Ada",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Arroyo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Huertas, Marially",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Hau, Gretchen",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Matias Rosario, Gregorio",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Morán Trinidad, Nitza",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Neumann Zayas, Henry",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Santiago Negrón, María de L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Rivera, Rubén",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Torres Berríos, Albert",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Vargas Vidot, José A.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Villafañe Ramos, William E.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Aponte Dalmau, Javier",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Dalmau Santiago, José L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"García Montes, Ada",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Arroyo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Huertas, Marially",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Hau, Gretchen",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Matias Rosario, Gregorio",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Morán Trinidad, Nitza",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Neumann Zayas, Henry",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Santiago Negrón, María de L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Rivera, Rubén",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Torres Berríos, Albert",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Vargas Vidot, José A.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Villafañe Ramos, William E.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Aponte Dalmau, Javier",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Dalmau Santiago, José L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"García Montes, Ada",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Arroyo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Huertas, Marially",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Hau, Gretchen",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Matias Rosario, Gregorio",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Morán Trinidad, Nitza",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Neumann Zayas, Henry",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Santiago Negrón, María de L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Rivera, Rubén",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Torres Berríos, Albert",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Vargas Vidot, José A.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Villafañe Ramos, William E.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Aponte Dalmau, Javier",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Dalmau Santiago, José L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"García Montes, Ada",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Arroyo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Huertas, Marially",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Hau, Gretchen",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Jiménez Santoni, Marissa",En contra
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Matias Rosario, Gregorio",En contra
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Morán Trinidad, Nitza",En contra
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Neumann Zayas, Henry",En contra
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ríos Santiago, Carmelo J.",En contra
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Riquelme Cabrera, Keren",En contra
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Santiago Negrón, María de L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Rivera, Rubén",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Soto Tolentino, Wanda (Wandy)",En contra
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Torres Berríos, Albert",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Vargas Vidot, José A.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Villafañe Ramos, William E.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Aponte Dalmau, Javier",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Dalmau Santiago, José L.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"García Montes, Ada",Ausente
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Arroyo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"González Huertas, Marially",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Hau, Gretchen",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Matias Rosario, Gregorio",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Morán Trinidad, Nitza",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Neumann Zayas, Henry",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-18,1ra Sesión Ordinaria,19ma Asamblea Legislativa,7,"Rivera Lassén, Ana Irma",A favor
