cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Matias Rosario, Gregorio",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Morán Trinidad, Nitza",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Neumann Zayas, Henry",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Santiago Negrón, María de L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Rivera, Rubén",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Torres Berríos, Albert",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Vargas Vidot, José A.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Villafañe Ramos, William E.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Aponte Dalmau, Javier",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Dalmau Santiago, José L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"García Montes, Ada",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"González Arroyo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"González Huertas, Marially",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Hau, Gretchen",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Matias Rosario, Gregorio",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Morán Trinidad, Nitza",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Neumann Zayas, Henry",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Santiago Negrón, María de L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Rivera, Rubén",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Torres Berríos, Albert",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Vargas Vidot, José A.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Villafañe Ramos, William E.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Aponte Dalmau, Javier",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Dalmau Santiago, José L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"García Montes, Ada",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"González Arroyo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"González Huertas, Marially",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Hau, Gretchen",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Matias Rosario, Gregorio",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Morán Trinidad, Nitza",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Neumann Zayas, Henry",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rodriguez Veve, Joanne",En contra
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Santiago Negrón, María de L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Rivera, Rubén",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Torres Berríos, Albert",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Vargas Vidot, José A.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Villafañe Ramos, William E.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Aponte Dalmau, Javier",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Dalmau Santiago, José L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"García Montes, Ada",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"González Arroyo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"González Huertas, Marially",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Hau, Gretchen",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Matias Rosario, Gregorio",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Morán Trinidad, Nitza",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Neumann Zayas, Henry",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Santiago Negrón, María de L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Rivera, Rubén",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Torres Berríos, Albert",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Vargas Vidot, José A.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Villafañe Ramos, William E.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Aponte Dalmau, Javier",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Dalmau Santiago, José L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"García Montes, Ada",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"González Arroyo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"González Huertas, Marially",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Hau, Gretchen",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Matias Rosario, Gregorio",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Morán Trinidad, Nitza",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Neumann Zayas, Henry",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Santiago Negrón, María de L.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Rivera, Rubén",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Torres Berríos, Albert",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Vargas Vidot, José A.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Villafañe Ramos, William E.",A favor
Senado,2021-02-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,5,"Zaragoza Gomez, Juan",A favor
