cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Arroyo, Migdalia",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Huertas, Marially",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Hau, Gretchen",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Matias Rosario, Gregorio",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Morán Trinidad, Nitza",Abstenido
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Neumann Zayas, Henry",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Riquelme Cabrera, Keren",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Schatz, Thomas",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rodriguez Veve, Joanne",Abstenido
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Santiago Negrón, María de L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Rivera, Rubén",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Torres Berríos, Albert",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Vargas Vidot, José A.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Villafañe Ramos, William E.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Aponte Dalmau, Javier",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Dalmau Santiago, José L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"García Montes, Ada",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Arroyo, Migdalia",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Huertas, Marially",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Hau, Gretchen",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Jiménez Santoni, Marissa",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Matias Rosario, Gregorio",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Morán Trinidad, Nitza",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Neumann Zayas, Henry",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Padilla Alvelo, Migdalia",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Riquelme Cabrera, Keren",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Schatz, Thomas",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Santiago Negrón, María de L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Rivera, Rubén",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Tolentino, Wanda (Wandy)",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Torres Berríos, Albert",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Vargas Vidot, José A.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Villafañe Ramos, William E.",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Aponte Dalmau, Javier",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Dalmau Santiago, José L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"García Montes, Ada",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Arroyo, Migdalia",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Huertas, Marially",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Hau, Gretchen",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Jiménez Santoni, Marissa",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Matias Rosario, Gregorio",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Morán Trinidad, Nitza",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Neumann Zayas, Henry",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Padilla Alvelo, Migdalia",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Riquelme Cabrera, Keren",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Schatz, Thomas",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Santiago Negrón, María de L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Rivera, Rubén",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Tolentino, Wanda (Wandy)",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Torres Berríos, Albert",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Vargas Vidot, José A.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Villafañe Ramos, William E.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Aponte Dalmau, Javier",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Dalmau Santiago, José L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"García Montes, Ada",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Arroyo, Migdalia",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Huertas, Marially",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Hau, Gretchen",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Matias Rosario, Gregorio",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Morán Trinidad, Nitza",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Neumann Zayas, Henry",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Padilla Alvelo, Migdalia",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Riquelme Cabrera, Keren",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Schatz, Thomas",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Santiago Negrón, María de L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Rivera, Rubén",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Tolentino, Wanda (Wandy)",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Torres Berríos, Albert",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Vargas Vidot, José A.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Villafañe Ramos, William E.",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Aponte Dalmau, Javier",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Dalmau Santiago, José L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"García Montes, Ada",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Arroyo, Migdalia",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"González Huertas, Marially",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Hau, Gretchen",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Matias Rosario, Gregorio",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Morán Trinidad, Nitza",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Neumann Zayas, Henry",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Riquelme Cabrera, Keren",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rivera Schatz, Thomas",En contra
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Santiago Negrón, María de L.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Rivera, Rubén",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Torres Berríos, Albert",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Vargas Vidot, José A.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Villafañe Ramos, William E.",A favor
Senado,2021-03-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,12,"Zaragoza Gomez, Juan",A favor
