cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Villafañe Ramos, William E.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Aponte Dalmau, Javier",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Bernabe Riefkohl, Rafael",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Dalmau Santiago, José L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"García Montes, Ada",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Arroyo, Migdalia",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Huertas, Marially",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Hau, Gretchen",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Matias Rosario, Gregorio",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Morán Trinidad, Nitza",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Neumann Zayas, Henry",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ríos Santiago, Carmelo J.",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Riquelme Cabrera, Keren",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Lassén, Ana Irma",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Schatz, Thomas",Ausente
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Santiago Negrón, María de L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Rivera, Rubén",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Torres Berríos, Albert",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Vargas Vidot, José A.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Villafañe Ramos, William E.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Aponte Dalmau, Javier",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Dalmau Santiago, José L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"García Montes, Ada",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Arroyo, Migdalia",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Huertas, Marially",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Hau, Gretchen",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Jiménez Santoni, Marissa",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Matias Rosario, Gregorio",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Morán Trinidad, Nitza",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Neumann Zayas, Henry",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Padilla Alvelo, Migdalia",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ríos Santiago, Carmelo J.",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Riquelme Cabrera, Keren",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Schatz, Thomas",Ausente
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Santiago Negrón, María de L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Rivera, Rubén",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Tolentino, Wanda (Wandy)",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Torres Berríos, Albert",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Vargas Vidot, José A.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Villafañe Ramos, William E.",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Aponte Dalmau, Javier",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Bernabe Riefkohl, Rafael",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Dalmau Santiago, José L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"García Montes, Ada",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Arroyo, Migdalia",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Huertas, Marially",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Hau, Gretchen",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Matias Rosario, Gregorio",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Morán Trinidad, Nitza",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Neumann Zayas, Henry",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Riquelme Cabrera, Keren",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Lassén, Ana Irma",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Schatz, Thomas",Ausente
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Santiago Negrón, María de L.",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Rivera, Rubén",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Torres Berríos, Albert",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Vargas Vidot, José A.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Villafañe Ramos, William E.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Aponte Dalmau, Javier",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Dalmau Santiago, José L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"García Montes, Ada",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Arroyo, Migdalia",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Huertas, Marially",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Hau, Gretchen",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Matias Rosario, Gregorio",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Morán Trinidad, Nitza",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Neumann Zayas, Henry",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Riquelme Cabrera, Keren",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Schatz, Thomas",Ausente
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Santiago Negrón, María de L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Rivera, Rubén",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Torres Berríos, Albert",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Vargas Vidot, José A.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Villafañe Ramos, William E.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Aponte Dalmau, Javier",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Dalmau Santiago, José L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"García Montes, Ada",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Arroyo, Migdalia",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"González Huertas, Marially",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Hau, Gretchen",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Jiménez Santoni, Marissa",Abstenido
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Matias Rosario, Gregorio",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Morán Trinidad, Nitza",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Neumann Zayas, Henry",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Padilla Alvelo, Migdalia",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ríos Santiago, Carmelo J.",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Riquelme Cabrera, Keren",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rivera Schatz, Thomas",Ausente
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rodriguez Veve, Joanne",Abstenido
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Santiago Negrón, María de L.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Rivera, Rubén",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Soto Tolentino, Wanda (Wandy)",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Torres Berríos, Albert",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Vargas Vidot, José A.",A favor
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Villafañe Ramos, William E.",En contra
Senado,2021-03-23,1ra Sesión Ordinaria,19ma Asamblea Legislativa,15,"Zaragoza Gomez, Juan",A favor
