cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Aponte Dalmau, Javier",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Dalmau Santiago, José L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"García Montes, Ada",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Arroyo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Huertas, Marially",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Hau, Gretchen",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Matias Rosario, Gregorio",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Morán Trinidad, Nitza",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Neumann Zayas, Henry",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Schatz, Thomas",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Santiago Negrón, María de L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Rivera, Rubén",Ausente
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Torres Berríos, Albert",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Vargas Vidot, José A.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Villafañe Ramos, William E.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Aponte Dalmau, Javier",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Dalmau Santiago, José L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"García Montes, Ada",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Arroyo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Huertas, Marially",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Hau, Gretchen",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Matias Rosario, Gregorio",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Morán Trinidad, Nitza",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Neumann Zayas, Henry",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Riquelme Cabrera, Keren",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Schatz, Thomas",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Santiago Negrón, María de L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Rivera, Rubén",Ausente
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Tolentino, Wanda (Wandy)",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Torres Berríos, Albert",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Vargas Vidot, José A.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Villafañe Ramos, William E.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Aponte Dalmau, Javier",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Dalmau Santiago, José L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"García Montes, Ada",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Arroyo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Huertas, Marially",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Hau, Gretchen",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Jiménez Santoni, Marissa",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Matias Rosario, Gregorio",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Morán Trinidad, Nitza",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Neumann Zayas, Henry",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Padilla Alvelo, Migdalia",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ríos Santiago, Carmelo J.",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Riquelme Cabrera, Keren",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Schatz, Thomas",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Santiago Negrón, María de L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Rivera, Rubén",Ausente
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Tolentino, Wanda (Wandy)",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Torres Berríos, Albert",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Vargas Vidot, José A.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Villafañe Ramos, William E.",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Aponte Dalmau, Javier",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Dalmau Santiago, José L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"García Montes, Ada",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Arroyo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Huertas, Marially",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Hau, Gretchen",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Matias Rosario, Gregorio",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Morán Trinidad, Nitza",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Neumann Zayas, Henry",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Riquelme Cabrera, Keren",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Schatz, Thomas",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rodriguez Veve, Joanne",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Santiago Negrón, María de L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Rivera, Rubén",Ausente
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Torres Berríos, Albert",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Vargas Vidot, José A.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Villafañe Ramos, William E.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Aponte Dalmau, Javier",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Dalmau Santiago, José L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"García Montes, Ada",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Arroyo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Huertas, Marially",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Hau, Gretchen",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Jiménez Santoni, Marissa",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Matias Rosario, Gregorio",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Morán Trinidad, Nitza",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Neumann Zayas, Henry",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Schatz, Thomas",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Santiago Negrón, María de L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Rivera, Rubén",Ausente
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Torres Berríos, Albert",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Vargas Vidot, José A.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Villafañe Ramos, William E.",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Aponte Dalmau, Javier",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Dalmau Santiago, José L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"García Montes, Ada",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Arroyo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Huertas, Marially",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Hau, Gretchen",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Jiménez Santoni, Marissa",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Matias Rosario, Gregorio",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Morán Trinidad, Nitza",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Neumann Zayas, Henry",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Padilla Alvelo, Migdalia",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ríos Santiago, Carmelo J.",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Riquelme Cabrera, Keren",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Schatz, Thomas",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Santiago Negrón, María de L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Rivera, Rubén",Ausente
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Tolentino, Wanda (Wandy)",Abstenido
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Torres Berríos, Albert",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Vargas Vidot, José A.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Villafañe Ramos, William E.",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Aponte Dalmau, Javier",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Dalmau Santiago, José L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"García Montes, Ada",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Arroyo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"González Huertas, Marially",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Hau, Gretchen",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Matias Rosario, Gregorio",En contra
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Morán Trinidad, Nitza",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Neumann Zayas, Henry",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rivera Schatz, Thomas",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Santiago Negrón, María de L.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Rivera, Rubén",Ausente
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Torres Berríos, Albert",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Vargas Vidot, José A.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Villafañe Ramos, William E.",A favor
Senado,2021-01-21,1ra Sesión Ordinaria,19ma Asamblea Legislativa,2,"Zaragoza Gomez, Juan",A favor
