cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Vargas Vidot, José A.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Villafañe Ramos, William E.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Aponte Dalmau, Javier",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Dalmau Santiago, José L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"García Montes, Ada",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Arroyo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Huertas, Marially",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Hau, Gretchen",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Matias Rosario, Gregorio",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Morán Trinidad, Nitza",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Neumann Zayas, Henry",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Schatz, Thomas",Ausente
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Santiago Negrón, María de L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Rivera, Rubén",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Torres Berríos, Albert",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Vargas Vidot, José A.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Villafañe Ramos, William E.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Aponte Dalmau, Javier",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Dalmau Santiago, José L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"García Montes, Ada",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Arroyo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Huertas, Marially",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Hau, Gretchen",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Matias Rosario, Gregorio",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Morán Trinidad, Nitza",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Neumann Zayas, Henry",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Schatz, Thomas",Ausente
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Santiago Negrón, María de L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Rivera, Rubén",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Torres Berríos, Albert",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Vargas Vidot, José A.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Villafañe Ramos, William E.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Aponte Dalmau, Javier",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Dalmau Santiago, José L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"García Montes, Ada",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Arroyo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Huertas, Marially",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Hau, Gretchen",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Matias Rosario, Gregorio",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Morán Trinidad, Nitza",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Neumann Zayas, Henry",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Schatz, Thomas",Ausente
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Santiago Negrón, María de L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Rivera, Rubén",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Torres Berríos, Albert",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Vargas Vidot, José A.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Villafañe Ramos, William E.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Aponte Dalmau, Javier",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Dalmau Santiago, José L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"García Montes, Ada",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Arroyo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Huertas, Marially",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Hau, Gretchen",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Jiménez Santoni, Marissa",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Matias Rosario, Gregorio",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Morán Trinidad, Nitza",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Neumann Zayas, Henry",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Padilla Alvelo, Migdalia",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ríos Santiago, Carmelo J.",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Riquelme Cabrera, Keren",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Schatz, Thomas",Ausente
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Santiago Negrón, María de L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Rivera, Rubén",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Tolentino, Wanda (Wandy)",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Torres Berríos, Albert",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Vargas Vidot, José A.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Villafañe Ramos, William E.",En contra
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Aponte Dalmau, Javier",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Dalmau Santiago, José L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"García Montes, Ada",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Arroyo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"González Huertas, Marially",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Hau, Gretchen",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Matias Rosario, Gregorio",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Morán Trinidad, Nitza",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Neumann Zayas, Henry",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rivera Schatz, Thomas",Ausente
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Santiago Negrón, María de L.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Rivera, Rubén",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Torres Berríos, Albert",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Vargas Vidot, José A.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Villafañe Ramos, William E.",A favor
Senado,2021-01-28,1ra Sesión Ordinaria,19ma Asamblea Legislativa,3,"Zaragoza Gomez, Juan",A favor
