cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rivera Schatz, Thomas",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Santiago Negrón, María de L.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Soto Rivera, Rubén",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Torres Berríos, Albert",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Vargas Vidot, José A.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Villafañe Ramos, William E.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Aponte Dalmau, Javier",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Dalmau Santiago, José L.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"García Montes, Ada",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"González Arroyo, Migdalia",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"González Huertas, Marially",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Hau, Gretchen",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Matias Rosario, Gregorio",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Morán Trinidad, Nitza",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Neumann Zayas, Henry",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rivera Schatz, Thomas",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Santiago Negrón, María de L.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Soto Rivera, Rubén",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Torres Berríos, Albert",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Vargas Vidot, José A.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Villafañe Ramos, William E.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Zaragoza Gomez, Juan",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Aponte Dalmau, Javier",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Dalmau Santiago, José L.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"García Montes, Ada",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"González Arroyo, Migdalia",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"González Huertas, Marially",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Hau, Gretchen",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Jiménez Santoni, Marissa",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Matias Rosario, Gregorio",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Morán Trinidad, Nitza",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Neumann Zayas, Henry",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Padilla Alvelo, Migdalia",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Riquelme Cabrera, Keren",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rivera Lassén, Ana Irma",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rivera Schatz, Thomas",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rodriguez Veve, Joanne",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Rosa Vélez, Elizabeth",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Ruiz Nieves, Ramón",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Santiago Negrón, María de L.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Soto Rivera, Rubén",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Torres Berríos, Albert",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Trujillo Plumey, Rosamar",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Vargas Vidot, José A.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Villafañe Ramos, William E.",A favor
Senado,2021-01-14,1ra Sesión Ordinaria,19ma Asamblea Legislativa,1,"Zaragoza Gomez, Juan",A favor
