cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Vargas Vidot, José A.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Villafañe Ramos, William E.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Aponte Dalmau, Javier",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Bernabe Riefkohl, Rafael",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Dalmau Santiago, José L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"García Montes, Ada",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Arroyo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Huertas, Marially",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Hau, Gretchen",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Matias Rosario, Gregorio",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Morán Trinidad, Nitza",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Neumann Zayas, Henry",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Riquelme Cabrera, Keren",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Lassén, Ana Irma",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Schatz, Thomas",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Santiago Negrón, María de L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Rivera, Rubén",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Torres Berríos, Albert",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Vargas Vidot, José A.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Villafañe Ramos, William E.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Aponte Dalmau, Javier",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Bernabe Riefkohl, Rafael",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Dalmau Santiago, José L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"García Montes, Ada",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Arroyo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Huertas, Marially",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Hau, Gretchen",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Matias Rosario, Gregorio",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Morán Trinidad, Nitza",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Neumann Zayas, Henry",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Riquelme Cabrera, Keren",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Lassén, Ana Irma",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Schatz, Thomas",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Santiago Negrón, María de L.",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Rivera, Rubén",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Torres Berríos, Albert",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Vargas Vidot, José A.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Villafañe Ramos, William E.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Aponte Dalmau, Javier",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Dalmau Santiago, José L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"García Montes, Ada",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Arroyo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Huertas, Marially",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Hau, Gretchen",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Jiménez Santoni, Marissa",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Matias Rosario, Gregorio",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Morán Trinidad, Nitza",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Neumann Zayas, Henry",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Padilla Alvelo, Migdalia",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ríos Santiago, Carmelo J.",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Riquelme Cabrera, Keren",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Schatz, Thomas",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Santiago Negrón, María de L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Rivera, Rubén",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Tolentino, Wanda (Wandy)",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Torres Berríos, Albert",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Vargas Vidot, José A.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Villafañe Ramos, William E.",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Aponte Dalmau, Javier",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Dalmau Santiago, José L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"García Montes, Ada",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Arroyo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Huertas, Marially",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Hau, Gretchen",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Matias Rosario, Gregorio",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Morán Trinidad, Nitza",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Neumann Zayas, Henry",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Riquelme Cabrera, Keren",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Schatz, Thomas",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Santiago Negrón, María de L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Rivera, Rubén",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Torres Berríos, Albert",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Vargas Vidot, José A.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Villafañe Ramos, William E.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Aponte Dalmau, Javier",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Dalmau Santiago, José L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"García Montes, Ada",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Arroyo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Huertas, Marially",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Hau, Gretchen",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Jiménez Santoni, Marissa",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Matias Rosario, Gregorio",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Morán Trinidad, Nitza",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Neumann Zayas, Henry",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Padilla Alvelo, Migdalia",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Riquelme Cabrera, Keren",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Schatz, Thomas",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Santiago Negrón, María de L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Rivera, Rubén",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Tolentino, Wanda (Wandy)",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Torres Berríos, Albert",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Vargas Vidot, José A.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Villafañe Ramos, William E.",Abstenido
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Aponte Dalmau, Javier",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Dalmau Santiago, José L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"García Montes, Ada",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Arroyo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Huertas, Marially",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Hau, Gretchen",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Matias Rosario, Gregorio",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Morán Trinidad, Nitza",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Neumann Zayas, Henry",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Riquelme Cabrera, Keren",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Schatz, Thomas",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Santiago Negrón, María de L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Rivera, Rubén",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Torres Berríos, Albert",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Vargas Vidot, José A.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Villafañe Ramos, William E.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Aponte Dalmau, Javier",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Dalmau Santiago, José L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"García Montes, Ada",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Arroyo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Huertas, Marially",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Hau, Gretchen",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Jiménez Santoni, Marissa",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Matias Rosario, Gregorio",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Morán Trinidad, Nitza",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Neumann Zayas, Henry",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Riquelme Cabrera, Keren",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rivera Schatz, Thomas",En contra
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Santiago Negrón, María de L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Rivera, Rubén",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Torres Berríos, Albert",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Vargas Vidot, José A.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Villafañe Ramos, William E.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Aponte Dalmau, Javier",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Dalmau Santiago, José L.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"García Montes, Ada",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Arroyo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"González Huertas, Marially",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Hau, Gretchen",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Matias Rosario, Gregorio",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Morán Trinidad, Nitza",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Neumann Zayas, Henry",Ausente
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-04,1ra Sesión Ordinaria,19ma Asamblea Legislativa,10,"Riquelme Cabrera, Keren",Ausente
