cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Matias Rosario, Gregorio",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Morán Trinidad, Nitza",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Neumann Zayas, Henry",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ruiz Nieves, Ramón",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Santiago Negrón, María de L.",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Rivera, Rubén",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Torres Berríos, Albert",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Vargas Vidot, José A.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Villafañe Ramos, William E.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Aponte Dalmau, Javier",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Dalmau Santiago, José L.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"García Montes, Ada",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"González Arroyo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"González Huertas, Marially",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Hau, Gretchen",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Matias Rosario, Gregorio",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Morán Trinidad, Nitza",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Neumann Zayas, Henry",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ruiz Nieves, Ramón",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Santiago Negrón, María de L.",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Rivera, Rubén",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Torres Berríos, Albert",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Vargas Vidot, José A.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Villafañe Ramos, William E.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Aponte Dalmau, Javier",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Dalmau Santiago, José L.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"García Montes, Ada",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"González Arroyo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"González Huertas, Marially",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Hau, Gretchen",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Matias Rosario, Gregorio",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Morán Trinidad, Nitza",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Neumann Zayas, Henry",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ruiz Nieves, Ramón",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Santiago Negrón, María de L.",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Rivera, Rubén",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Torres Berríos, Albert",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Vargas Vidot, José A.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Villafañe Ramos, William E.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Aponte Dalmau, Javier",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Dalmau Santiago, José L.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"García Montes, Ada",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"González Arroyo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"González Huertas, Marially",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Hau, Gretchen",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Matias Rosario, Gregorio",Abstenido
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Morán Trinidad, Nitza",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Neumann Zayas, Henry",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Riquelme Cabrera, Keren",Abstenido
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ruiz Nieves, Ramón",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Santiago Negrón, María de L.",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Rivera, Rubén",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Tolentino, Wanda (Wandy)",Abstenido
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Torres Berríos, Albert",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Vargas Vidot, José A.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Villafañe Ramos, William E.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Aponte Dalmau, Javier",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Dalmau Santiago, José L.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"García Montes, Ada",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"González Arroyo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"González Huertas, Marially",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Hau, Gretchen",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Matias Rosario, Gregorio",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Morán Trinidad, Nitza",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Neumann Zayas, Henry",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Ruiz Nieves, Ramón",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Santiago Negrón, María de L.",Ausente
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Rivera, Rubén",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Torres Berríos, Albert",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Vargas Vidot, José A.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Villafañe Ramos, William E.",A favor
Senado,2021-02-11,1ra Sesión Ordinaria,19ma Asamblea Legislativa,6,"Zaragoza Gomez, Juan",A favor
